"LSOA2021","INCN","EMPN","ESTN","HDDN","CRMN","BHSN","LIVN","CYPN","ADSN","INDN","OUTN"
"E01004820",0.795255930087391,0.596715328467153,0.668347418507208,0.665247364152474,0.793370165745856,0.338439750608798,0.459239504688928,0.520879940343028,0.899827288428325,0.684669573968467,0.493940210072717
"E01004822",0.716604244694132,0.558394160583942,0.543427313401037,0.616585563665856,0.64817679558011,0.30787033039153,0.374237814421115,0.397464578672632,0.822107081174439,0.542770882254277,0.615943980608672
"E01004823",0.820224719101124,0.713503649635036,0.686883033875435,0.788726682887267,0.852596685082873,0.384673839830055,0.321326171606005,0.560216256524981,0.882556131260795,0.412948674941295,0.709668731483975
"E01004824",0.564294631710362,0.31021897810219,0.519257628482826,0.529602595296026,0.453480662983425,0.216248424034127,0.849904218157232,0.232102908277405,0.848013816925734,0.94230124119423,0.497441422030703
"E01004825",0.636704119850187,0.425182481751825,0.570638922425017,0.577656123276561,0.667403314917127,0.274727552201171,0.440922009791033,0.376025354213274,0.875647668393782,0.680308621268031,0.46215997845408
"E01004826",0.785268414481898,0.536496350364963,0.591482612503847,0.569140308191403,0.667403314917127,0.368283794753113,0.587361804955615,0.529455630126771,0.785837651122625,0.783965112378397,0.460544034473472
"E01004827",0.732833957553059,0.461678832116788,0.653966337618067,0.565490673154907,0.744972375690608,0.505448955976581,0.391215615570497,0.539709172259508,0.860103626943005,0.647769204964777,0.429841098841907
"E01004828",0.694132334581773,0.43978102189781,0.538574438368487,0.521897810218978,0.502099447513812,0.566674150705515,0.623270605616697,0.373788217747949,0.830742659758204,0.835625628983563,0.325074064099111
"E01004829",0.692883895131086,0.427007299270073,0.578143124304619,0.559610705596107,0.525745856353591,0.514809761489439,0.848839975459815,0.414988814317673,0.861830742659758,0.90070446159007,0.612712092647455
"E01004830",0.588014981273408,0.468978102189781,0.606786923277229,0.620640713706407,0.739447513812155,0.404500785824079,0.548748575792861,0.616890380313199,0.72020725388601,0.724253606172425,0.576622677080528
"E01004831",0.365792759051186,0.220802919708029,0.256125275193523,0.41889699918897,0.523977900552486,0.250686516640473,0.596614456171982,0.406226696495153,0.516407599309154,0.766856759476686,0.544034473471586
